!CSV A.01.01
!Keysight Technologies,N5242B,US61255121,A.15.50.07
!Date: Friday, October 24, 2025 17:28:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),PwrMain(DB),PwrMain(DEG),IM3(DB),IM3(DEG),OIP3(DB),OIP3(DEG),IIP3(DB),IIP3(DEG)
1010000000,-11.82722,0,-29.234238,0,2.7898979,0,9.6688013,0
1015495000,-11.802251,0,-27.908735,0,2.1521168,0,9.1219511,0
1020990000,-11.915034,0,-26.507813,0,1.3388724,0,8.3020725,0
1026485000,-12.105733,0,-25.386822,0,0.58767903,0,7.5413289,0
1031980000,-12.207083,0,-23.870798,0,-0.27168366,0,6.7185822,0
1037475000,-12.186139,0,-22.752312,0,-0.80998367,0,6.2573161,0
1042970000,-12.271591,0,-21.905239,0,-1.3189721,0,5.9585366,0
1048465000,-12.363091,0,-21.135403,0,-1.7953905,0,5.5681658,0
1053960000,-12.4599,0,-20.4513,0,-2.2342498,0,5.1209011,0
1059455000,-12.584539,0,-19.701969,0,-2.7335546,0,4.7203717,0
1064950000,-12.48564,0,-19.337215,0,-2.8170316,0,4.600841,0
1070445000,-12.445232,0,-19.142746,0,-2.8738599,0,4.5749564,0
1075940000,-12.326277,0,-19.225361,0,-2.7135956,0,4.5837135,0
1081435000,-12.218901,0,-19.308207,0,-2.5647976,0,4.5171022,0
1086930000,-12.056635,0,-19.322683,0,-2.395294,0,4.5091333,0
1092425000,-11.733609,0,-19.286518,0,-2.0903499,0,4.5649252,0
1097920000,-11.47751,0,-19.470242,0,-1.7423891,0,4.7212639,0
1103415000,-11.237886,0,-19.774088,0,-1.3508434,0,4.8581939,0
1108910000,-11.03054,0,-20.035023,0,-1.0130273,0,4.9059715,0
1114405000,-10.81563,0,-20.096766,0,-0.7672472,0,4.9217329,0
1119900000,-10.587569,0,-19.908777,0,-0.6331811,0,4.8661561,0
1125395000,-10.36327,0,-19.813686,0,-0.45642611,0,4.8434715,0
1130890000,-10.105515,0,-19.616026,0,-0.29750159,0,4.7598119,0
1136385000,-9.8638868,0,-19.476978,0,-0.12539779,0,4.6961293,0
1141880000,-9.637495,0,-19.295042,0,0.010025444,0,4.6273589,0
1147375000,-9.3797836,0,-19.095789,0,0.16811046,0,4.5376525,0
1152870000,-9.13585,0,-19.061916,0,0.39510903,0,4.4699244,0
1158365000,-8.9306688,0,-18.96254,0,0.55060077,0,4.3899307,0
1163860000,-8.7083797,0,-18.853378,0,0.71830958,0,4.3469849,0
1169355000,-8.4604836,0,-18.996616,0,1.0378247,0,4.4379497,0
1174850000,-8.2586031,0,-19.463243,0,1.4730192,0,4.6500673,0
1180345000,-8.077878,0,-19.834358,0,1.8393008,0,4.7686892,0
1185840000,-7.8320832,0,-20.009052,0,2.1724434,0,4.8552318,0
1191335000,-7.5526929,0,-19.792534,0,2.3435743,0,4.8404298,0
1196830000,-7.2738895,0,-19.864927,0,2.6585743,0,4.9715371,0
1202325000,-7.0094562,0,-20.174696,0,3.0778928,0,5.1113744,0
1207820000,-6.6946321,0,-20.756603,0,3.6836698,0,5.2923298,0
1213315000,-6.3624005,0,-20.976151,0,4.1256747,0,5.3240638,0
1218810000,-5.9543347,0,-20.737349,0,4.41434,0,5.2712989,0
1224305000,-5.4865022,0,-20.548389,0,4.7876921,0,5.3007479,0
1229800000,-5.0270872,0,-20.949141,0,5.4474835,0,5.5241985,0
1235295000,-4.6441097,0,-22.049719,0,6.3807497,0,5.9561839,0
1240790000,-4.2103167,0,-22.872192,0,7.2257795,0,6.2317095,0
1246285000,-3.6724906,0,-23.117691,0,7.8863544,0,6.3743486,0
1251780000,-3.0752172,0,-22.701328,0,8.2754459,0,6.3309312,0
1257275000,-2.5025983,0,-23.015598,0,9.0052004,0,6.5989213,0
1262770000,-1.8593268,0,-23.028719,0,9.6550322,0,6.5761929,0
1268265000,-1.2157917,0,-20.574171,0,9.0712948,0,5.2279787,0
1273760000,-0.79835165,0,-16.553507,0,7.4784021,0,3.1436353,0
1279255000,-0.77266771,0,-14.083179,0,6.2689219,0,1.9508308,0
1284750000,-1.0324321,0,-12.69046,0,5.3127975,0,1.3018979,0
1290245000,-1.4596269,0,-12.257533,0,4.6691394,0,1.1120495,0
1295740000,-1.8583813,0,-12.329909,0,4.3065729,0,1.1372285,0
1301235000,-2.1955304,0,-12.793039,0,4.2009892,0,1.2781949,0
1306730000,-2.4354954,0,-13.556044,0,4.3425269,0,1.6229407,0
1312225000,-2.5947242,0,-14.355574,0,4.5830626,0,2.0893958,0
1317720000,-2.7158582,0,-15.41075,0,4.9895172,0,2.6913886,0
1323215000,-2.829066,0,-16.820885,0,5.5813766,0,3.4393673,0
1328710000,-2.9496701,0,-18.20104,0,6.1508498,0,4.1093836,0
1334205000,-3.0558207,0,-19.354311,0,6.621336,0,4.6300907,0
1339700000,-3.1765382,0,-20.001871,0,6.8243976,0,4.9134555,0
1345195000,-3.2879066,0,-20.513716,0,6.9689517,0,5.1217527,0
